trade_date,open,close,high,low,vol,amount,pct_chg,turnover
20250514,85.58,86.06,86.75,85.28,23189869.0,1995024430.0,0.6314,
20250515,85.8,84.42,85.98,84.35,21551907.0,1830116103.0,-1.9056,
20250516,84.16,84.7,84.78,83.88,17039389.0,1439033199.0,0.3317,
20250519,84.71,85.01,85.28,83.72,16412240.0,1389624361.0,0.366,
20250520,85.4,85.04,85.82,85.0,15483762.0,1320558448.0,0.0353,
20250521,84.79,84.07,85.15,84.0,19840598.0,1674678742.0,-1.1406,
20250522,84.0,83.81,84.68,83.71,13347362.0,1122068232.0,-0.3093,
20250523,83.8,82.9,84.24,82.89,18562039.0,1547022204.0,-1.0858,
20250526,83.42,84.02,84.68,83.41,22378126.0,1880583115.0,1.351,
20250527,84.0,83.0,84.23,82.95,14405567.0,1201328251.0,-1.214,
20250528,83.14,82.01,83.24,82.0,15766722.0,1299440672.0,-1.1928,
20250529,82.05,83.44,83.49,81.9,19295585.0,1600440139.0,1.7437,
20250530,83.01,82.09,83.1,81.94,14577233.0,1200823864.0,-1.6179,
20250603,82.2,82.47,82.78,81.37,14113706.0,1160240725.0,0.4629,
20250604,82.6,83.18,83.32,82.26,13713352.0,1137111148.0,0.8609,
20250605,83.49,84.39,84.87,83.03,24759154.0,2082162321.0,1.4547,
20250606,84.33,84.56,85.0,83.78,18634650.0,1573634077.0,0.2014,
20250609,84.15,84.43,85.08,84.1,19227453.0,1625424785.0,-0.1537,
20250610,84.49,82.32,84.49,82.02,25443912.0,2110402874.0,-2.4991,
20250611,82.46,82.91,83.36,82.29,15435894.0,1278915271.0,0.7167,
20250612,82.5,82.27,82.88,82.06,14536968.0,1197894620.0,-0.7719,
20250613,82.0,82.79,83.1,81.71,22621715.0,1867045545.0,0.6321,
20250616,82.3,82.96,83.07,82.28,12509643.0,1035423151.0,0.2053,
20250617,82.98,82.4,83.13,82.02,13764726.0,1135819307.0,-0.675,
20250618,82.23,82.01,82.67,81.66,14912111.0,1224483141.0,-0.4733,
20250619,82.0,81.65,82.88,81.51,17728970.0,1454011926.0,-0.439,
20250620,81.73,81.28,82.59,81.22,16691409.0,1363632477.0,-0.4532,
20250623,81.03,84.25,85.3,80.9,45387149.0,3789070489.0,3.654,
20250624,84.25,85.15,85.37,84.09,30936689.0,2625596795.0,1.0682,
20250625,85.0,88.39,88.53,85.0,55719038.0,4864643478.0,3.805,
20250626,88.39,87.28,89.98,87.2,38656454.0,3407695275.0,-1.2558,
20250627,87.58,86.88,88.15,86.7,26165913.0,2282801470.0,-0.4583,
20250630,88.18,88.17,89.63,87.79,34352802.0,3041253561.0,1.4848,
20250701,88.0,87.76,88.85,87.65,21688792.0,1910493391.0,-0.465,
20250702,87.5,86.1,87.73,85.81,22557267.0,1952256268.0,-1.8915,
20250703,86.38,86.24,86.73,85.78,14615027.0,1260546079.0,0.1626,
20250704,86.0,85.8,87.2,84.86,25225745.0,2168236869.0,-0.5102,
20250707,85.69,85.48,86.86,85.37,13534928.0,1162695432.0,-0.373,
20250708,85.49,86.74,86.85,85.18,21766848.0,1877535752.0,1.474,
20250709,86.65,85.85,86.86,85.52,18310200.0,1576080982.0,-1.0261,
20250710,85.61,85.67,86.17,85.5,17563946.0,1506635288.0,-0.2097,
20250711,85.7,88.16,89.34,85.4,46992238.0,4118086457.0,2.9065,
20250714,88.3,87.52,88.49,87.47,18983136.0,1667225558.0,-0.726,
20250715,87.15,87.89,87.95,86.61,20617316.0,1803671528.0,0.4228,
20250716,87.73,87.12,88.2,86.77,19670851.0,1718511113.0,-0.8761,
